row_idx,participantId,ic_r1_logit,ic_r2_logit,ic_r3_logit,ic_concat_logit
0,B5EEA43994834610923448E638FDDCBD,5.274718761444092,5.525617599487305,5.780570030212402,4.539519309997559
1,AA175CE8F0784E7C93E27E10F6467F98,5.459953308105469,5.174160003662109,5.504249095916748,4.295795440673828
2,,5.701980113983154,5.535655498504639,5.818575859069824,5.6803059577941895
3,,5.719662189483643,5.845058917999268,5.745022773742676,5.761961936950684
4,0B88803070B24C55BACFF1F753044E2F,5.632856369018555,5.73666524887085,5.702554702758789,4.808418273925781
5,,5.6349287033081055,5.390807628631592,5.365030288696289,5.19061803817749
6,B894168E847E427A8C94523F7C3FD43B,4.921270847320557,5.244570255279541,5.138442516326904,4.759663105010986
7,286F7353F1AE4795AE41962A57CF2D98,5.51435661315918,5.812980175018311,4.771074295043945,4.949409008026123
8,,5.616870880126953,5.7955193519592285,5.65264892578125,5.059742450714111
9,,5.788572788238525,5.749829292297363,5.825053691864014,5.158947467803955
10,,5.700791358947754,5.476779937744141,5.677809238433838,4.474740505218506
11,,5.671219348907471,4.546833038330078,5.140292167663574,5.013370513916016
12,,5.659016609191895,5.76423978805542,5.527379035949707,5.322805881500244
13,,5.370469570159912,4.991279125213623,5.491738796234131,5.05101203918457
14,868FBA41BEAB45E39746C28BA1CCD974,5.774821758270264,5.28529691696167,5.435787677764893,5.176103115081787
15,,5.847304821014404,5.6905293464660645,5.288939476013184,5.3898749351501465
16,,5.748963832855225,5.948111534118652,5.894319534301758,5.4500885009765625
17,,5.941064834594727,5.78066349029541,5.487823486328125,4.97922945022583
18,FA5AE8A8FF3B4494B3E47C5CFBE56EE3,5.690106391906738,5.492977142333984,4.695520401000977,4.907229423522949
19,,5.681135654449463,5.814232349395752,4.925713062286377,5.297703742980957
20,,5.709940433502197,5.797593593597412,5.904548645019531,5.421822547912598
21,6E11F1F8B0494CC78EDD4CE23EBB73DA,5.872213363647461,5.9176459312438965,1.942119836807251,5.693135738372803
22,,5.69966983795166,5.212617874145508,5.614673614501953,4.811441421508789
23,96824F311E8C41308F5FFAFE389931D1,5.842286109924316,5.819659233093262,5.666828632354736,5.051880359649658
24,,5.528548240661621,5.521811008453369,5.321206092834473,5.1329193115234375
25,,5.115449905395508,4.741031646728516,4.900823593139648,4.643061637878418
26,,5.859035968780518,3.473850727081299,4.010177612304688,4.730865955352783
27,,5.327453136444092,5.678275108337402,1.9722803831100464,4.839666843414307
28,,5.735501766204834,5.54266881942749,5.80480432510376,5.393618583679199
29,,5.728549957275391,5.348295211791992,5.3139262199401855,5.139642238616943
30,,5.717599391937256,5.751620292663574,5.556411266326904,5.363224506378174
31,,5.39081335067749,5.7433295249938965,5.71755838394165,5.213315010070801
32,,5.158808708190918,4.625222682952881,4.36932897567749,4.492403030395508
33,64F6E2F3CD7A439380E288DA3E2F5E91,5.898932456970215,5.678805828094482,5.824526786804199,5.61860990524292
34,,5.327476978302002,4.682233333587647,3.791376829147339,4.390822410583496
35,,5.584108352661133,5.582663059234619,1.7649948596954346,4.768267631530762
36,,5.532952308654785,5.808992385864258,4.129356384277344,4.631618022918701
37,,5.269409656524658,5.69171142578125,5.689674377441406,5.187209606170654
38,,5.610018253326416,3.0552031993865967,1.8453149795532229,5.02245044708252
39,4EC885F838D2405E94596A6944A5C704,5.663267135620117,5.885621547698975,4.410019874572754,5.260289192199707
40,29A31BF2B9C34743BA1034C4780FE27B,5.4599456787109375,5.700535774230957,5.860201835632324,5.118281364440918
41,,5.493953227996826,5.678866386413574,5.791172027587891,4.999389171600342
42,,5.834068775177002,5.694814682006836,5.255629062652588,5.289241313934326
43,FC0A2CD7495F49A68934E3AF7939572F,5.549197673797607,5.514157295227051,5.1707682609558105,5.012596130371094
44,,5.651523113250732,4.934288501739502,5.262149333953857,5.221261501312256
45,98CEBB245CC64B34B95712FED358D4C0,5.549695014953613,5.827537536621094,4.964857578277588,4.913154602050781
46,,5.745153903961182,6.104995727539063,5.71371603012085,5.6043853759765625
47,,5.522008895874023,5.699157238006592,5.719495296478272,4.9080071449279785
48,,1.123117208480835,1.123117208480835,1.123117208480835,1.1993095874786377
49,,5.735692977905273,5.54235315322876,5.5908637046813965,5.186202049255371
50,DA8263D613664C1BA4E032C55A886351,5.838406562805176,3.9091155529022217,4.001509189605713,5.507808208465576
51,CA98DF2B2520492582DF61C632CEE275,5.744908332824707,5.895066738128662,2.599616527557373,5.72910213470459
52,BE2747F319524D8EBA46EBA1941F9DF3,5.531551361083984,5.83676815032959,4.002864360809326,5.363536834716797
53,,5.8162713050842285,5.553497791290283,4.060817241668701,5.262288570404053
54,,5.830657005310059,5.768792629241943,4.833458423614502,5.277660846710205
55,,5.339014053344727,3.235737562179565,5.503508567810059,4.625855445861816
56,,5.701627731323242,5.634407997131348,1.3578064441680908,5.369437217712402
57,,5.884666919708252,5.808329582214356,5.863134860992432,5.536595344543457
58,,5.776069164276123,5.758054256439209,5.651556491851807,5.150635242462158
59,,5.821615219116211,5.881715774536133,5.946187496185303,5.420794486999512
60,5A606E625C384C9AB48B2DE67C6DEED5,5.690196990966797,4.949375152587891,5.766321182250977,5.312932014465332
61,,5.648751258850098,5.839972019195557,5.816365718841553,5.409213542938232
62,,1.123117208480835,1.123117208480835,1.123117208480835,1.1993095874786377
63,0C8DAAF0BDE74D6482EC557F33586F18,5.857794761657715,5.835677146911621,5.216116905212402,5.162656784057617
64,55AD4C5714D94B54863A6AB83BA23894,5.680666923522949,5.623734474182129,5.4566144943237305,4.93174934387207
65,,5.85760498046875,2.804837703704834,1.8033924102783203,5.597114562988281
