participantId,ic_qwenorpo400_logit,ic_qwenorpo400
B5EEA43994834610923448E638FDDCBD,3.3787105083465576,3.0
AA175CE8F0784E7C93E27E10F6467F98,1.6712493896484375,1.0
0B88803070B24C55BACFF1F753044E2F,2.4335808753967285,2.0
B894168E847E427A8C94523F7C3FD43B,2.079330921173096,2.0
286F7353F1AE4795AE41962A57CF2D98,3.028182029724121,3.0
868FBA41BEAB45E39746C28BA1CCD974,2.8140969276428223,3.0
FA5AE8A8FF3B4494B3E47C5CFBE56EE3,2.88139271736145,3.0
6E11F1F8B0494CC78EDD4CE23EBB73DA,2.0379528999328613,2.0
96824F311E8C41308F5FFAFE389931D1,3.203798055648804,3.0
64F6E2F3CD7A439380E288DA3E2F5E91,3.5688862800598145,4.0
4EC885F838D2405E94596A6944A5C704,4.685744762420654,4.0
29A31BF2B9C34743BA1034C4780FE27B,2.9713830947875977,3.0
FC0A2CD7495F49A68934E3AF7939572F,2.678432941436768,3.0
98CEBB245CC64B34B95712FED358D4C0,3.159278631210327,3.0
DA8263D613664C1BA4E032C55A886351,1.930566906929016,2.0
CA98DF2B2520492582DF61C632CEE275,1.797337293624878,2.0
BE2747F319524D8EBA46EBA1941F9DF3,2.496021509170532,3.0
5A606E625C384C9AB48B2DE67C6DEED5,2.031672239303589,2.0
0C8DAAF0BDE74D6482EC557F33586F18,2.735248327255249,3.0
55AD4C5714D94B54863A6AB83BA23894,2.3545491695404053,3.0
A5DD87C51D044489A83F3E76946D583E,2.2232086658477783,2.0
B98C5880B2F24E41839CAABAD7DDA18E,3.290735244750977,3.0
E70C8ED79B9A4F7D878728C2D2B927F1,2.696544885635376,3.0
AF3ADF2DA568403FA08AC9F65ECE5AD3,2.7828564643859863,3.0
FF2C447A83B0498EAAEA8C001D2A1086,1.7968534231185913,1.0
69EF627706AB4EDD8A60298BB67C21DD,2.143777847290039,2.0
71DE16EDC599481F8D8E6B3505295D13,2.402620792388916,3.0
53E6FFB88A9D490DA1D270360AE0D622,3.5649242401123047,4.0
2270DFB8BCD94043BFF87245AAE79F3D,2.201150417327881,2.0
4C4C4D76144D46538803AC9A0F3E382B,2.0976030826568604,2.0
6E33511650414D8D89EB66E55518885F,2.532609701156616,3.0
D458E31B550C4D3CAE8C537D4BF86527,2.788241147994995,3.0
DC6FB5B2469C435F99E7F2A624863D4B,2.706936836242676,3.0
534B5AB2A3B94C5D9C1BF817BB7E602B,3.027149200439453,3.0
3A16B33FCC354D1EB138BAB806DF944A,3.00439977645874,3.0
4A30F0CF881740AF919E69A84A1510C6,3.3890380859375,3.0
92BED895C8B04F5097FDA0CB3473532C,2.617173194885254,3.0
54E698132D0F45B992E0BBAABE0228BE,2.5758206844329834,3.0
7890C21B9F2E4EC092E4CDD3E19DBA78,3.166224718093872,3.0
7D2AA6C9DCAB4434A73654D7866D56DA,2.354062557220459,2.0
F251F7AE9AAD4E479822EC46264A15E7,2.3599541187286377,2.0
918C01F6D24B4251AC12A585D5D8A19C,3.5560922622680664,4.0
8E2474F56D8F426F800DAEB5F192BD1E,3.3177313804626465,3.0
0ED83422D6474D4FB61C995A7C79559B,2.5156171321868896,3.0
10DE7B83D33E4443B107AF1F33F735E3,1.7065950632095337,1.0
30767FCAC4F7400AA58A0BB13DD59708,3.346428871154785,3.0
BB5CA56ED90246A8B95B68F16B61934F,2.978135585784912,3.0
73ED6B66D52647F680D4AE090CABE3C3,2.236708164215088,2.0
6C9688FB50C64547B0B7FDA17D76C4DB,2.4478445053100586,2.0
B0AB5FCE66DD464DADDF35067B4C1744,3.61259388923645,4.0
1FA849B64DB44D6AB82823C005B0AA50,2.173078775405884,2.0
DEEEF33BE66540B386ECE6C0438719EC,1.7708585262298584,1.0
BC83CAE885124BE085D4ABD92EC5A57E,3.835113525390625,4.0
4C3D31F7D4E84BDBB9BC4B1657CE24ED,1.5136933326721191,1.0
42E11D90D1474FD69C5FC6536F3C23C7,3.7342262268066406,4.0
3EEEDDC21A094D1D8909C04A8C409F40,1.502861261367798,1.0
2BF41C8CCF654B6EBFB591A75F389F0E,1.3112529516220093,1.0
81F5E0F9AFFD459E822FB7EBA7FF02BA,3.912992238998413,4.0
EEC1980B00784170AA6D86B1CA8A0D46,2.195856809616089,2.0
D3834907264F4C91B44D67DC2DB165CF,2.639221668243408,3.0
CCA30462FB85404B8B407791D9E84062,1.6151230335235596,1.0
18EBEB4C60934800974837D95731BA1F,2.952007532119751,3.0
9F739CC6515B4361809595367FBBF73D,3.2659945487976074,3.0
CD512E048CD94004891D26B69E2F6668,2.4534170627593994,2.0
2E5D21D7783C4AF0966C6576042B4692,3.529630661010742,4.0
2BC90C9DF3DD418AB717355BC9C8E792,2.8027591705322266,3.0
E5E9AA5C1D2D45BA9FA1099F5C38162D,1.5937350988388062,1.0
6F5EF30ABB79457B904A327D5B67F478,2.819338798522949,3.0
C87FD362ACCB492D98E012D1C31B7F73,3.2038135528564453,3.0
32DEA1F517454177B39C5C885826D967,3.558095932006836,4.0
0F8F309B96464B85B860E8D4F8F32BF8,2.723371982574463,3.0
05A817D5DA014DC4AA233348D99967EA,2.302533864974976,2.0
2A106A4184A241D79ABFAE1E113AD4FA,3.6925606727600098,4.0
4AB0A44753C54C48B0C3F735CD088259,1.8724218606948853,2.0
673A14EAE89F49948353E7F92E4BDDB2,3.9154953956604,4.0
CEC894EA06E441F6ABC3DD5A80D6FC4B,3.151883125305176,3.0
98D94B38C6634E36BFF9FD4BCD40BB0B,3.953054428100586,4.0
B424F30D3DF94AC6A8318D6C7019D283,2.6299495697021484,3.0
8E1435916D7244DF8553E028E58C1F9B,2.548366069793701,3.0
B32D065D50FB4A41BEFB66CEFB5EF832,3.290712118148804,3.0
4FFEF32FA4B54BC992D33735D42C148B,3.501622676849365,4.0
8ABA35BE4FF24A6DAE895F3CDFE22BDA,3.112670660018921,3.0
3E989D35F5554D25BB0DC7E166E453BA,1.9400211572647093,2.0
B42FB369B5104E7EAB4BB0866A6F8EBE,1.7620569467544556,2.0
C15FD043802C4D9DA0F26508D89A60F1,2.628777265548706,3.0
40EFF561537C4854A700C7E6ADA79422,2.67303729057312,3.0
312642AC1BAC48A98BCA5FF4078B3859,2.750622510910034,3.0
B7F7832409EE4FE1B88415AF2DB17D9E,2.910726547241211,3.0
EF4E4EB37BC44094B55916C73E0085E2,3.110410213470459,3.0
FB184C52573B459A9A0EF62EBB06A22B,2.5875160694122314,3.0
87119B5094154CF091E8ADA1911D02A5,3.9399123191833496,4.0
E00FE3F926504F12A763173EBB54E91D,3.298618793487549,3.0
DB80F7959180417D89138C7D6501D9EB,1.2108118534088137,1.0
